강의,사업관리,고객관리,품질생산관리,AI/SW,해외영업,시험평가,제어,HR_AX,열관리개발,재무회계,성능HW
People Analytics 입문,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.667,0.0,0.0,0.0
HR Analytics 심화,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.667,0.0,0.0,0.0
채용 브랜딩과 면접 운영,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
노동법 기초와 노무관리,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0
AI 활용 업무 자동화,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
데이터 시각화 대시보드,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0
리더십과 코칭 스킬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
원가관리와 재무제표 읽기,0.111,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.667,0.0
사업전략과 KPI 관리,0.667,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0
글로벌 소싱과 해외영업,0.0,0.143,0.0,0.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0
자동차 품질관리 실무,0.167,0.0,0.667,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0
열관리 시스템 이해,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0
모터 제어 SW 기초,0.0,0.0,0.0,0.167,0.0,0.0,0.833,0.0,0.0,0.0,0.0
차량 성능 시험·평가,0.0,0.0,0.0,0.091,0.0,0.636,0.0,0.182,0.0,0.0,0.091
통계 분석 기초,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.333,0.0,0.0,0.0
